year,decile,welf,tinc,share,minc
1990.0,1,0.8943844785869585,128.48330609450142,0.6961094836158133,12.84833060945014
1990.0,2,1.4564312987128785,128.48330609450142,1.1335568355017664,12.84833060945014
1990.0,3,1.927528980477666,128.48330609450142,1.500217451643048,12.84833060945014
1990.0,4,2.461342771033407,128.48330609450142,1.9156907195578017,12.84833060945014
1990.0,5,3.131123610580559,128.48330609450142,2.436988668611602,12.84833060945014
1990.0,6,4.156922061339201,128.48330609450142,3.2353791225466457,12.84833060945014
1990.0,7,6.283016198738719,128.48330609450142,4.890142065707327,12.84833060945014
1990.0,8,11.73357895798703,128.48330609450142,9.13237627101283,12.84833060945014
1990.0,9,25.507159403463188,128.48330609450142,19.852508608941218,12.84833060945014
1990.0,10,70.9318183335818,128.48330609450142,55.20703077286194,12.84833060945014
1991.0,1,0.8998658087665897,127.60222040453925,0.7052117164683589,12.760222040453925
1991.0,2,1.477475637192975,127.60222040453925,1.1578761188550728,12.760222040453925
1991.0,3,1.9549543656692976,127.60222040453925,1.5320692378796201,12.760222040453925
1991.0,4,2.4879985891841,127.60222040453925,1.9498082253556093,12.760222040453925
1991.0,5,3.151833519538457,127.60222040453925,2.4700459831703174,12.760222040453925
1991.0,6,4.1555358144474015,127.60222040453925,3.256632840144195,12.760222040453925
1991.0,7,6.192018852066046,127.60222040453925,4.852594909740125,12.760222040453925
1991.0,8,11.410285449159282,127.60222040453925,8.942074372205344,12.760222040453925
1991.0,9,25.13740924368094,127.60222040453925,19.699821181784635,12.760222040453925
1991.0,10,70.73484312483417,127.60222040453925,55.433865414396735,12.760222040453925
1992.0,1,0.9082139355832741,126.91728757140154,0.7155951351956904,12.691728757140154
1992.0,2,1.5057887269769092,126.91728757140154,1.1864331138732993,12.691728757140154
1992.0,3,1.9923419803872693,126.91728757140154,1.56979558774955,12.691728757140154
1992.0,4,2.5275718690756452,126.91728757140154,1.9915110994266054,12.691728757140154
1992.0,5,3.193680818822749,126.91728757140154,2.5163481507797254,12.691728757140154
1992.0,6,4.185665401061682,126.91728757140154,3.2979474121733783,12.691728757140154
1992.0,7,6.1307409107459385,126.91728757140154,4.830501051558391,12.691728757140154
1992.0,8,11.016784713415523,126.91728757140154,8.680286920895362,12.691728757140154
1992.0,9,24.75375835915758,126.91728757140154,19.503850762041797,12.691728757140154
1992.0,10,70.70274085617498,126.91728757140154,55.707730766306206,12.691728757140154
1993.0,1,0.9219924481134434,126.4365102688105,0.7292137738958788,12.643651026881049
1993.0,2,1.532672092523423,126.4365102688105,1.2122068928230332,12.643651026881049
1993.0,3,2.0226709278967854,126.4365102688105,1.59975225794866,12.643651026881049
1993.0,4,2.5578849687502756,126.4365102688105,2.023058816881359,12.643651026881049
1993.0,5,3.225815370747413,126.4365102688105,2.551332177619553,12.643651026881049
