year,decile,welf,tinc,share,minc
1981,1,0.8015270462980404,120.0849544379001,0.667466669783796,12.008495443790009
1981,2,1.1721839441121669,120.0849544379001,0.9761288994104103,12.008495443790009
1981,3,1.6035526065484047,120.0849544379001,1.3353484739652832,12.008495443790009
1981,4,2.1253826086883527,120.0849544379001,1.769899167332789,12.008495443790009
1981,5,2.782634381023635,120.0849544379001,2.3172214987703788,12.008495443790009
1981,6,3.86928406005092,120.0849544379001,3.2221222701565457,12.008495443790009
1981,7,6.414665604460425,120.0849544379001,5.341772942735854,12.008495443790009
1981,8,12.91724842947652,120.0849544379001,10.756758404864497,12.008495443790009
1981,9,25.469934902662775,120.0849544379001,21.209930104802694,12.008495443790009
1981,10,62.928540854578856,120.0849544379001,52.40335156817775,12.008495443790009
1982,1,0.8352971354615238,120.71146914065295,0.691978269677288,12.071146914065295
1982,2,1.2197331629465615,120.71146914065295,1.0104534155949414,12.071146914065295
1982,3,1.6375487179220147,120.71146914065295,1.356580886290054,12.071146914065295
1982,4,2.1486305663437215,120.71146914065295,1.7799721779876094,12.071146914065295
1982,5,2.799623289066539,120.71146914065295,2.3192686734716315,12.071146914065295
1982,6,3.868432262178854,120.71146914065295,3.204693215746847,12.071146914065295
1982,7,6.3518214106481485,120.71146914065295,5.261986666111245,12.071146914065295
1982,8,12.79374411289413,120.71146914065295,10.598615197025616,12.071146914065295
1982,9,25.521273374683147,120.71146914065295,21.142376574794042,12.071146914065295
1982,10,63.53536510850831,120.71146914065295,52.63407492330072,12.071146914065295
1983,1,0.8717069131089218,120.87184911370093,0.7211827398196997,12.087184911370093
1983,2,1.2748470349709258,120.87184911370093,1.0547096319935596,12.087184911370093
1983,3,1.681737235622001,120.87184911370093,1.3913390487143418,12.087184911370093
1983,4,2.1818131346335976,120.87184911370093,1.8050630900675841,12.087184911370093
1983,5,2.8246251521012034,120.87184911370093,2.3368759333235265,12.087184911370093
1983,6,3.8584209174315474,120.87184911370093,3.192158427064381,12.087184911370093
1983,7,6.228791579676138,120.87184911370093,5.153219401663063,12.087184911370093
